timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:26:23.194, 16.86 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:24.210, 16.78 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:25.213, 16.85 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:26.229, 17.48 W, 33, 187 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:27.232, 17.53 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:28.234, 17.50 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:29.237, 17.45 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:30.241, 17.49 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:31.258, 17.45 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:32.273, 17.56 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:33.275, 17.67 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:34.278, 17.58 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:35.294, 17.55 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:36.298, 17.53 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:37.314, 17.42 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:38.316, 17.18 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:39.320, 17.09 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:40.321, 17.25 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:41.336, 17.43 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:42.337, 17.33 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:43.352, 17.41 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:44.353, 17.33 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:45.353, 17.22 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:46.369, 17.13 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:47.370, 17.01 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:48.371, 17.07 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:49.385, 17.30 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
